,batch_size,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
112,16,112,16,2.655425663000642,96.40638921547476,3.367265224456787,3.337954044342041
113,16,112,32,3.624725394998677,141.25207959379412,3.367265224456787,3.337954044342041
114,16,112,48,4.590455770001427,167.30364880517328,3.367265224456787,3.337954044342041
115,16,112,64,5.709021312999539,179.36524385858124,3.367265224456787,3.337954044342041
116,16,112,80,6.7253210459984984,190.32548650767947,3.367265224456787,3.337954044342041
117,16,112,96,7.814144222998948,196.5666304800434,3.367265224456787,3.337954044342041
118,16,112,112,8.916226888000892,200.98187523823594,3.3970227241516113,3.337954044342041
119,16,112,128,10.001209600999573,204.77523036766596,3.4497790336608887,3.3760361671447754
120,16,128,16,3.0984825200011983,82.62108898387491,3.4676194190979004,3.4363532066345215
121,16,128,32,4.094125636000172,125.05722723746393,3.4676194190979004,3.4363532066345215
122,16,128,48,5.112516969000353,150.21955030306071,3.4676194190979004,3.4363532066345215
123,16,128,64,6.177948939999624,165.75080337262585,3.4676194190979004,3.4363532066345215
124,16,128,80,7.285922748000303,175.68124783526002,3.4676194190979004,3.4363532066345215
125,16,128,96,8.324989205999373,184.5047437290474,3.4676194190979004,3.4363532066345215
126,16,128,112,9.501767300998836,188.59649402397204,3.4676194190979004,3.4363532066345215
127,16,128,128,10.65676313699987,192.17842919764473,3.5034356117248535,3.4363532066345215
128,24,16,16,1.4877904639997723,258.1008611707695,2.819305896759033,2.7989892959594727
129,24,16,32,2.7041254239993577,284.01049492154857,2.8961524963378906,2.863649368286133
130,24,16,48,3.9725740070007305,289.9883043009067,2.9757065773010254,2.937145709991455
131,24,16,64,5.244969256000331,292.85205022751865,3.0549774169921875,3.0109081268310547
132,24,16,80,6.558863713999017,292.733632489118,3.133349895477295,3.0834059715270996
133,24,16,96,7.907305155000358,291.37613318780484,3.2124767303466797,3.157473564147949
134,24,16,112,9.278121286999522,289.71382425948866,3.292479991912842,3.229910373687744
135,24,16,128,10.689369780999186,287.38831782773684,3.370730400085449,3.3031625747680664
136,24,32,16,1.8748759710015293,204.81354817026815,2.966763973236084,2.945272922515869
137,24,32,32,3.1353569399998378,244.94818762167466,2.976637363433838,2.945272922515869
138,24,32,48,4.418334400001186,260.7317363755199,3.0552749633789062,3.011035919189453
139,24,32,64,5.732479656000578,267.94687328583257,3.13334321975708,3.083411693572998
140,24,32,80,7.078398602001471,271.2477931741659,3.213224411010742,3.1566638946533203
141,24,32,96,8.448362987999644,272.715554868166,3.292473316192627,3.2299160957336426
142,24,32,112,9.854214173999935,272.7766976175748,3.3707237243652344,3.303168296813965
143,24,32,128,11.29411276800056,272.0001175040373,3.449850559234619,3.376420497894287
144,24,48,16,2.3291430680001213,164.86750224824746,3.1170969009399414,3.0926733016967773
145,24,48,32,3.61411101900012,212.50038971201135,3.1170969009399414,3.0926733016967773
146,24,48,48,4.936475521999455,233.36487639128362,3.1333365440368652,3.0926733016967773
147,24,48,64,6.27452562200051,244.7993828592059,3.2126073837280273,3.157423973083496
148,24,48,80,7.64618659000007,251.10556450597713,3.2915902137756348,3.229921817779541
149,24,48,96,9.05821690799894,254.354695123875,3.3707170486450195,3.3031740188598633
150,24,48,112,10.502201567000157,255.94633495191988,3.4498438835144043,3.3764262199401855
151,24,48,128,11.976146003000395,256.5098988631542,3.528970718383789,3.4502716064453125
152,24,64,16,2.6775902039989887,143.41253543073728,3.268131732940674,3.2407755851745605
153,24,64,32,4.010391756999525,191.50248816953447,3.268131732940674,3.2407755851745605
154,24,64,48,5.344407137999951,215.55244019659688,3.268131732940674,3.2407755851745605
155,24,64,64,6.705872178999925,229.0529790904947,3.29158353805542,3.2407755851745605
156,24,64,80,8.13413245099946,236.04238209375177,3.3707103729248047,3.3031797409057617
157,24,64,96,9.567714573999183,240.80985925951984,3.4498372077941895,3.376431941986084
158,24,64,112,11.04473354899892,243.37391102057293,3.528964042663574,3.4496841430664062
159,24,64,128,12.531282482999814,245.1464967107346,3.608090877532959,3.5229363441467285
160,24,80,16,3.0678580580006383,125.16876359340355,3.4191665649414062,3.3888778686523438
161,24,80,32,4.424872281999342,173.56433159082854,3.4191665649414062,3.3888778686523438
162,24,80,48,5.8038633599990135,198.48847716500958,3.4191665649414062,3.3888778686523438
163,24,80,64,7.200873559000684,213.30745324365364,3.4191665649414062,3.3888778686523438
164,24,80,80,8.659872784999607,221.71226387133206,3.4506068229675293,3.3888778686523438
165,24,80,96,10.117564571999537,227.72278680349058,3.529733657836914,3.4502830505371094
166,24,80,112,11.599315716999627,231.7378081243658,3.608084201812744,3.5238184928894043
167,24,80,128,13.153526645999591,233.54953258366598,3.687211036682129,3.596194267272949
168,24,96,16,3.741265945998748,102.63905467898766,3.5703539848327637,3.537132740020752
169,24,96,32,5.107843910000156,150.356983011248,3.5703539848327637,3.537132740020752
170,24,96,48,6.5328259769994474,176.3402245913059,3.5703539848327637,3.537132740020752
171,24,96,64,7.966633826999896,192.80414204482554,3.5703539848327637,3.537132740020752
172,24,96,80,9.448444798999844,203.2080454344444,3.5703539848327637,3.537132740020752
173,24,96,96,10.931940796999697,210.75855081764982,3.609220027923584,3.537132740020752
174,24,96,112,12.45584660500026,215.80227223743526,3.6874704360961914,3.596649169921875
175,24,96,128,14.010318807999283,219.26695902494535,3.766353130340576,3.66945219039917
